Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
2140103220;MP;MP08;ANTENA DE FIBRA DE VIDRO (2140103220);UN;010108;28; 12,000 ; -   ; 12,000 ; 143,62 ; -   ;CDS PROJECTS ENERGY
2140103220;MP;MP08;ANTENA DE FIBRA DE VIDRO (2140103220);UN;010108;31; 2.382,000 ; -   ; 2.382,000 ; 62.871,22 ; -   ;PROJETO COPEL FASE 1
2140103230;MP;MP08;CABO DE ANTENA DO MODULO SMA (ZJ) - 316 LINE-N MACHO (2140103230);UN;010108;31; 5.419,000 ; -   ; 5.419,000 ; 133.727,37 ; -   ;PROJETO COPEL FASE 1
2140103240;MP;MP08;ANTENA FRP N (ZK) 902-928MHZ - 2DBI L285MM (2140103240);UN;010108;28; 98,000 ; -   ; 98,000 ; 1.318,52 ; -   ;CDS PROJECTS ENERGY
2140103240;MP;MP08;ANTENA FRP N (ZK) 902-928MHZ - 2DBI L285MM (2140103240);UN;010108;31; 9.412,000 ; -   ; 9.412,000 ; 207.105,41 ; -   ;PROJETO COPEL FASE 1
2140103890;MP;MP08;"ANTENA DE COMUNICACAO 4G: SMA WIFI: WIFI: 2.5DBI 4G: 4.5DBI;50O;F46*26MM;2000±30MM;F46*2000MM; ROHS";UN;010108;07; 4,000 ; -   ; 4,000 ; 31,93 ; -   ;LIVOLTEK - VENDAS
2140104000;RV;RV01;ANTENA PARA MODULO DE COMUNICACAO WIFI (2140104000);UN;010108;07; 79,000 ; -   ; 79,000 ; 223,35 ; -   ;LIVOLTEK - VENDAS
2140104080;MP;MP08;ANTENA DE COMUNICACAO RF 902~928MHZ 2DBI 57MM COM CONECTOR SMA (2140104080);UN;010108;28; 68,000 ; -   ; 68,000 ; 2.317,55 ; -   ;CDS PROJECTS ENERGY
2140104220;RV;RV01;ANTENA WIFI 2.4GHZ, >3DBI, 50OHMS, 32.5MM, 290±5MM, 32.5*9.5*0.2MM, ROHS, -45~+85 GRAUS CELSIUS;UN;010108;07; 1.503,000 ; -   ; 1.503,000 ; 2.332,36 ; -   ;LIVOLTEK - VENDAS
2140300060;MP;MP03;PORCA H8.0 2 .0 DOURADA PARA FIXACAO DE CONECTOR DE ANTENA SMA (2140300060);UN;010108;31; 1.000,000 ; -   ; 1.000,000 ; 150,00 ; -   ;PROJETO COPEL FASE 1
2140300080;MP;MP03;ARRUELA DE PRESSAO DIMENSOES 8.5*6.5*1.2, DOURADO, DE ACO, PARA CONECTOR SMA (2140300080);UN;010108;31; 4.628,000 ; -   ; 4.628,000 ; 228,62 ; -   ;PROJETO COPEL FASE 1
