Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
AC1-AIOR11001;RV;RV01;CAIXA DE ALUMINIO FUNDIDO PARA ALOCACAO DE BATERIAS DE LITIO PARA USO EM INVERSORES FOTOVOLTAICOS;UN;010106;07; 1,000 ; -   ; 1,000 ; 557,91 ; -   ;LIVOLTEK - VENDAS
BLF-B5150R11001;MP;MP08;BATERIA DE LITIO BLF-B5150 COM PECAS DE CONEXAO;UN;010106;07; 5,000 ; -   ; 5,000 ; 23.179,26 ; -   ;LIVOLTEK - VENDAS
GF1-3K48L1R11003;RV;RV01;INVERSOR FOTOVOLTAICO MODELO GF1-3K48L1;UN;010106;12; 1,000 ; -   ; 1,000 ; 1.687,41 ; -   ;SOLAR DISAPPROVAL
GF1-5K48S1R11003;RV;RV01;INVERSOR FOTOVOLTAICO MODELO GF1-5K48S1;UN;010106;08; 1,000 ; -   ; 1,000 ; 3.451,00 ; -   ;LIVOLTEK - WARRANTY
GT1-10KT2R11003;RV;RV01;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1-10KT2R11003;UN;010106;07; 23,000 ; -   ; 23,000 ; 93.741,56 ; -   ;LIVOLTEK - VENDAS
GT1-10KT2R11004;RV;RV01;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004;UN;010106;04; 1,000 ; -   ; 1,000 ; 3.108,04 ; -   ;EXPEDICAO
GT1-10KT2R11004;RV;RV01;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT1 -10KT2R11004;UN;010106;07; 9,000 ; -   ; 9,000 ; 29.857,72 ; -   ;LIVOLTEK - VENDAS
GT1-3K3S1;RV;RV01;INVERSOR FOTOVOLTAICO MODELO GT1-3K3S1;UN;010106;12; 1,000 ; -   ; 1,000 ; 1.730,96 ; -   ;SOLAR DISAPPROVAL
GT1-5KD1R11001;RV;RV01;INVERSOR ON-GRID LIVOLTEK GT1-5KD1;UN;010106;07; 17,000 ; -   ; 17,000 ; 43.936,04 ; -   ;LIVOLTEK - VENDAS
GT1-5KD2R11008;RV;RV01;INVERSOR ON-GRID MONOFASICO GT1-5KD2 220V AFCI;UN;010106;07; 10,000 ; -   ; 10,000 ; 15.606,16 ; -   ;LIVOLTEK - VENDAS
GT1-6KD1R11001;RV;RV01;INVERSOR FOTOVOLTAICO MODELO GT1-6KD1;UN;010106;01; 1,000 ; -   ; 1,000 ; 3.285,16 ; -   ;ARMAZEM PADRAO
GT1-6KD1R11001;RV;RV01;INVERSOR FOTOVOLTAICO MODELO GT1-6KD1;UN;010106;07; 6,000 ; -   ; 6,000 ; 17.489,53 ; -   ;LIVOLTEK - VENDAS
GT1-6KD2R11008;RV;RV01;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT1-6KD2R11008;UN;010106;07; 10,000 ; -   ; 10,000 ; 19.742,78 ; -   ;LIVOLTEK - VENDAS
