CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
HP1-1K5L2R11001;INVERSOR HIBRIDO MONOFASICO 1,5KW 127V 1 MPPT AFCI -HP1-1K5L2;;PRODUTO;INVERSOR HP1;HP1-1K5L2;;;;;;;;
GT3-75KL1R11002;INVERSOR ON-GRID TRIFASICO GT3 -75KL1 220V AFCI;;PRODUTO;INVERSOR - GT3;GT3 -75KL1 220V AFCI;;;;;;;;
GT3-75KL11R11002;INVERSOR ON-GRID TRIFASICO 75KW 220V 6 MPPT AFCI - GT3-75KL11-2;;PRODUTO;INVERSOR - GT3;GT3-75KL11-2;;;;;;;;
GT3-75K-11R11002;INVERSOR ON-GRID TRIFASICO 75KW 380V 6 MPPT AFCI - GT3-75K-11-2;;PRODUTO;INVERSOR - GT3;GT3-75K-11-2;;;;;;;;
GT3-60KW00101;INVERSOR ON-GRID TRIFASICO 4MPPT, 380V, COR BRANCO, LIVOLTEK, MODELO GT3-60K;;PRODUTO;INVERSOR - GT3;GT3-60K;;;;;;;;
GT3-60KQ1R11002;INVERSOR TRIFASICO 380V ON-GRID GT3-60KQ1 AFCI;;PRODUTO;INVERSOR - GT3;GT3-60KQ1 AFCI;;;;;;;;
GT3-60KQ1R11001;INVERSOR TRIFASICO ON-GRID GT3-60KQ1 (GT3-60KQ1R11001);;PRODUTO;INVERSOR - GT3;GT3-60KQ1R11001;;;;;;;;
GT3-60KL11R11002;INVERSOR ON-GRID TRIFASICO 60KW 220V 6 MPPT AFCI - GT3-60KL11-2;;PRODUTO;INVERSOR - GT3;GT3-60KL11-2;;;;;;;;
GT3-50KQ1R11002;INVERSOR TRIFASICO 380V ON-GRID GT3-50KQ1 AFCI;;PRODUTO;INVERSOR - GT3;GT3-50KQ1 AFCI;;;;;;;;
GT3-50KL11R11002;INVERSOR ON-GRID TRIFASICO 50KW 220V 4 MPPT AFCI - GT3-50KL11;;PRODUTO;INVERSOR - GT3;GT3-50KL11;;;;;;;;
GT3-50KD;INVERSOR FOTOVOLTAICO MODELO GT3-50K-D;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-37K5T1R11002;INVERSOR ON-GRID TRIFASICO 37,5KW 380V 3 MPPT AFCI - GT3-37K5T1;;PRODUTO;INVERSOR - GT3;GT3-37K5T1;;;;;;;;
GT3-37K5Q1R11002;INVERSOR TRIFASICO 380V ON-GRID GT3-37K5Q AFCI;;PRODUTO;INVERSOR - GT3;GT3-37K5Q AFCI;;;;;;;;
GT3-30KTL1R11002;INVERSOR ON-GRID TRIFASICO 30KW 380V 2 MPPT AFCI - GT3-30KD1-2;;PRODUTO;INVERSOR - GT3;GT3-30KD1-2;;;;;;;;
GT3-30KT1R11002;INVERSOR TRIFASICO 380V ON-GRID GT3-30KT1 AFCI.;;PRODUTO;INVERSOR - GT3;GT3-30KT1 AFCI.;;;;;;;;
GT3-30KQL1R11002;INVERSOR TRIFASICO 220V ON-GRID GT3-30KQL1 AFCI;;PRODUTO;INVERSOR - GT3;GT3-30KQL1 AFCI;;;;;;;;
GT3-30KD1R11002;INVERSOR ON-GRID TRIFASICO 30KW 220V 3 MPPT AFCI - GT3-30KTL1-2;;PRODUTO;INVERSOR - GT3;GT3-30KTL1-2;;;;;;;;
GT3-30K-D;INVERSOR ON-GRID TRIFASICO 2MPPT, 380V, COR BRANCO, LIVOLTEK, MODELO GT3-30K-D;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-25KL-TW11001;INVERSOR ON-GRID TRIFASICO GT3 -25KL-T 220V (GT3-25KL-TW11001);;PRODUTO;INVERSOR - GT3;GT3-25KL-TW11001;;;;;;;;
GT3-25K-DW00101;INVERSOR ON-GRID TRIFASICO 2MPPT, 380V, COR BRANCO, LIVOLTEK, MODELO GT3-25K-D;;PRODUTO;INVERSOR - GT3;GT3-25K-D;;;;;;;;
GT3-25KD1R11008;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3 - 25KD1R11008;105652;PRODUTO;INVERSOR - GT3;GT3 - 25KD1R11008;;;;;;;;
GT3-25KD1R11006;INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-25KD1R11006);;PRODUTO;INVERSOR - GT3;GT3-25KD1R11006;;;;;;;;
GT3-25KD1R11001;INVERSOR ON-GRID LIVOLTEK GT3-25KD1.;;PRODUTO;INVERSOR - GT3;GT3-25KD1;;;;;;;;
GT3-25K-D;INVERSOR ON-GRID TRIFASICO 2MPPT, 380V, COR BRANCO, LIVOLTEK, MODELO GT3-25K-D;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-250K-DW;INVERSOR ON-GRID LIVOLTEK GT3-250K;;PRODUTO;INVERSOR - GT3;;;;;;;;;
GT3-22K-DW00101;INVERSOR FOTOVOLTAICO MODELO GT3-22K-D;;PRODUTO;INVERSOR - GT3;GT3-22K-D;;;;;;;;
GT3-20KTL1R11002;INVERSOR TRIFASICO 220V ON-GRID GT3-20KTL1 AFCI;;PRODUTO;INVERSOR - GT3;GT3-20KTL1 AFCI;;;;;;;;
GT3-20KL-TW11001;INVERSOR ON-GRID TRIFASICO GT3 -20KL-T 220V (GT3-20KL-TW11001);;PRODUTO;INVERSOR - GT3;GT3 -20KL-T 220V (GT3-20KL-TW11001);;;;;;;;
GT3-20KD1R11008;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3-20KD1R11008;104926;PRODUTO;INVERSOR - GT3;GT3-20KD1R11008;;;;;;;;
104926M;Matéria-Prima - GT3-20KD1R11008;104926;MATERIA-PRIMA;INVERSOR - GT3;GT3-20KD1R11008 (MATÉRIA-PRIMA);;;;;;;;
GT3-20KD1R11006;INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-20KD1R11006);;PRODUTO;INVERSOR - GT3;GT3-20KD1R11006;;;;;;;;
GT3-20KD1R11001;INVERSOR FOTOVOLTAICO MODELO GT3 -20KD1;;PRODUTO;INVERSOR - GT3;GT3 -20KD1;;;;;;;;
GT3-15KTL1R11002;INVERSOR TRIFASICO 220V ON-GRID GT3-15KTL1 AFCI;;PRODUTO;INVERSOR - GT3;;;;;;;;;
