CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ, SALDO EM ESTOQUE , EMPENHO PARA REQ/PV/RESERVA , ESTOQUE DISPONIVEL ,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM,CÓDIGO TOP MANAGER,Armazém Dashboard,Categoria,Família,Nomenclatura
3070500161,MP,MP04,ABRACADEIRA DE NYLON 4X200MM PA66 BRANCA (3070500161),UN,10108,7,  648 , - ,  648 ,"R$ 30,07",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,ABRACADEIRA DE NYLON 4X200MM PA66 BRANCA (3070500161)
3090901020,MP,MP08,"CABO CONDUTOR ELETRICO MUNIDO DE PECAS DE CONEXAO, PARA UMA TENSAO DE ATE 1000V, CORRENTE 200A, CARREGAMENTO CCS 2. 5M;",UN,10108,7,  6 , - ,  6 ,"R$ 11.339,69",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,DIVERSOS - CABO,"CABO CONDUTOR ELETRICO MUNIDO DE PECAS DE CONEXAO, PARA UMA TENSAO DE ATE 1000V, CORRENTE 200A, CARREGAMENTO CCS 2. 5M;"
3090901050,MP,MP08,CABO DE CARREGAMENTO COM CONECTOR CCS 2; 250A; 1000V; IP54; COR PRETO; 5M,UN,10108,7,  1 , - ,  1 ,"R$ 1.944,48",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,DIVERSOS - CABO,CABO DE CARREGAMENTO COM CONECTOR CCS 2; 250A; 1000V; IP54; COR PRETO; 5M
3100703570,RV,RV01,"CARTAO DE ACIONAMENTO POR APROXIMACAO PVC, 85.5*54MM, PADRAO LIVOLTEK",UN,10108,7,  56 , - ,  56 ,"R$ 258,26",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARTAO DE ACIONAMENTO POR APROXIMACAO PVC, 85.5*54MM, PADRAO LIVOLTEK"
3990033500,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS TRAVA ELETRONICA;TENSAO NOMINAL 12V DC;TENSAO DE ALIMENTACAO:9-16V,UN,10108,7,  8 , - ,  8 ,"R$ 522,32",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS TRAVA ELETRONICA;TENSAO NOMINAL 12V DC;TENSAO DE ALIMENTACAO:9-16V
523000717001,RV,RV01,CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G,UN,10108,7,  1 , - ,  1 ,"R$ 23.956,83",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,CONVERSOR ESTATICO DE POTENCIA TIPO ESTACAO DE RECARGA VEICULAR LCDC 60KW 2XCCS2 5M RFID ETHERNET 4G
525010020008,RV,RV01,"MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN), FREQUENCIA 2.4 GHZ, 54MBIT/S, 3.3VDC",UN,10108,7,  1.503 , - ,  1.503 ,"R$ 21.177,42",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,"MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN), FREQUENCIA 2.4 GHZ, 54MBIT/S, 3.3VDC"
525010021005,RV,RV01,MODULO DE COMUNICACAO WIFI (525010021005),UN,10108,7,  83 , - ,  83 ,"R$ 5.039,35",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,MODULO DE COMUNICACAO WIFI (525010021005)
525010027004,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DA TRAVA ELETRONICA (525010027004),UN,10108,7,  8 , - ,  8 ,"R$ 113,97",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DA TRAVA ELETRONICA (525010027004)
525010035012,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE CARREGAMENTO(CCU),UN,10108,7,  7 , - ,  7 ,"R$ 3.308,23",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE CARREGAMENTO(CCU)
525010040003,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5*20 LED STATUS DE RECARREGAMENTO,UN,10108,7,  8 , - ,  8 ,"R$ 114,51",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5*20 LED STATUS DE RECARREGAMENTO
525010042005,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE PLC (525010042005),UN,10108,7,  8 , - ,  8 ,"R$ 535,30",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE PLC (525010042005)
525010043001,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5MM*20MM LED DE STATUS LIGADO,UN,10108,7,  8 , - ,  8 ,"R$ 104,52",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;181.5MM*20MM LED DE STATUS LIGADO
525010044002,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;261.5MM*20MM LED DE STATUS LIGADO,UN,10108,7,  7 , - ,  7 ,"R$ 133,53",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS PLACA DE CONTROLE DE LED;261.5MM*20MM LED DE STATUS LIGADO
525030024002,RV,RV01,MAQUINAS AUTOMATICA PARA PROCESSAMENTO DE DADOS TIPO LEITOR DE CARTOES MAGNETICOS RFID KIT PARA AC EV-CHARGER,UN,10108,7,  56 , - ,  56 ,"R$ 2.969,30",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,MAQUINAS AUTOMATICA PARA PROCESSAMENTO DE DADOS TIPO LEITOR DE CARTOES MAGNETICOS RFID KIT PARA AC EV-CHARGER
525030073001,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS GERENCIAMENTO DE CABOS RODA DE QUATRO VIAS; 82.5X55X16MM;ROHS,UN,10108,7,  7 , - ,  7 ,"R$ 151,04",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS GERENCIAMENTO DE CABOS RODA DE QUATRO VIAS; 82.5X55X16MM;ROHS
525030074001,MP,MP07,BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO ESQUERDO,UN,10108,7,  1 , - ,  1 ,"R$ 329,81",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO ESQUERDO
525030075001,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS;D30.2 ;170X164X66.5MM;ROHS,UN,10108,7,  2 , - ,  2 ,"R$ 624,32",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS;D30.2 ;170X164X66.5MM;ROHS
525030076001,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS; D30.2;170X164X66.5MM;ROHS,UN,10108,7,  3 , - ,  3 ,"R$ 934,20",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS BALANCEADOR DO GERENCIADOR DE CABOS; D30.2;170X164X66.5MM;ROHS
525030077001,MP,MP07,BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO DIREITO,UN,10108,7,  1 , - ,  1 ,"R$ 329,81",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,BALANCEADOR DO GERENCIADOR DE CABOS;SCCR -FC-XX-L(R); LADO DIREITO
525030096001,MP,MP07,ARO DE CONEXAO DO CABO DE RECARGA DO GERENCIADOR DE CABOS; BRACACEIRA 30.2MM,UN,10108,7,  1 , - ,  1 ,"R$ 17,02",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,ARO DE CONEXAO DO CABO DE RECARGA DO GERENCIADOR DE CABOS; BRACACEIRA 30.2MM
525030098001,MP,MP07,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS ARO (CONJUNTO DA BRACADEIRA DO CABO DE CARREGAMENTO);DIAMETRO 30.2MM;,UN,10108,7,  7 , - ,  7 ,"R$ 122,46",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),NÃO CADASTRADO,DIVERSOS,PARTE EXCLUSIVA DE CONVERSORES ELETRICOS ESTATICOS ARO (CONJUNTO DA BRACADEIRA DO CABO DE CARREGAMENTO);DIAMETRO 30.2MM;
6001014980,MP,MP08,MODULO DE POTENCIA AC/DC 30KW; SAIDA DC 0-1000V;USADO NA ESTACAO MF DC (6001014980),UN,10108,7,  19 , - ,  19 ,"R$ 86.979,25",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,MODULO DE POTENCIA AC/DC 30KW; SAIDA DC 0-1000V;USADO NA ESTACAO MF DC (6001014980)
6001015000,PA,PA51,MEDIDOR DE ENERGIA EM CORRENTE CONTINUA DC;DCM230 -2-1;9-40VDC ;5-1000VDC,UN,10108,7,  1 , - ,  1 ,"R$ 228,82",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,MEDIDOR DE ENERGIA EM CORRENTE CONTINUA DC;DCM230 -2-1;9-40VDC ;5-1000VDC
8020400430,MP,MP08,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH",UN,10108,7,  23 , - ,  23 ,"R$ 33.170,82",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 12,8V/130500MAH"
8020400440,MP,MP08,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH",UN,10108,7,  22 , - ,  22 ,"R$ 51.253,50",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 22,4V/133200MAH"
8020400450,MP,MP08,"DISPOSITIVO FOTOSSENSIVEL SEMICONDUTOR, CELULAS FOTOVOLTAICAS MONTADAS EM PAINEL SOLAR - 100 W",UN,10108,7,  94 , - ,  94 ,"R$ 53.872,34",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"DISPOSITIVO FOTOSSENSIVEL SEMICONDUTOR, CELULAS FOTOVOLTAICAS MONTADAS EM PAINEL SOLAR - 100 W"
8020400600,MP,MP08,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 14,8V/80000MAH",UN,10108,7,  21 , - ,  21 ,"R$ 18.560,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"CARREGADOR DE ACUMULADOR (CA) PORTATIL PARA CARREGAR DISPOSITIVOS CONVENCIONAIS CAP. 14,8V/80000MAH"
9120819005,MP,MP03,"POSTE DE FIBRA DE VIDRO 100 DAN, 7 METROS, PADRAO COPEL RAMAL AEREO",UN,10108,7,  20 , - ,  20 ,"R$ 28.858,50",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"POSTE DE FIBRA DE VIDRO 100 DAN, 7 METROS, PADRAO COPEL RAMAL AEREO"
9121500036,RV,RV01,"COLUNA DE FIXACAO, DE ACO, PARA MONTAGEM DE ESTRUTURA FIXA DE CARREGADOR VEICULAR",UN,10108,7,  21 , - ,  21 ,"R$ 4.920,09",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,"COLUNA DE FIXACAO, DE ACO, PARA MONTAGEM DE ESTRUTURA FIXA DE CARREGADOR VEICULAR"
